"gamma","r.x.v","LW","LS","W","S","GFIC","J10","J5","BIC","HQ","AIC"
0,0.12,0.0697287088406503,0.0837272346852089,0.0511217095571073,0.0737603497700937,0.0651248599156032,0.0729223689590781,0.0736642715590762,0.0770215525920836,0.0791651117741098,0.0776656453986105
0,0.125,0.0671924820593208,0.0844175751754503,0.0516953414392181,0.0741995010280743,0.0657092258237975,0.0734539189533248,0.0745604001496631,0.0778358376844814,0.0802123498335831,0.0778638065400094
0,0.13,0.0681971637552587,0.0876998408421942,0.051364896036887,0.0780613282208369,0.06568067941987,0.0749087807243669,0.0760895583901143,0.0811135893503306,0.0829573895867151,0.0798581844797066
0,0.135,0.0681440058344022,0.0881803884331313,0.0519401879600863,0.0786005418035792,0.0654025586281382,0.0740929128110202,0.0755087297877716,0.0819754079134489,0.0828055647945508,0.0795210681670813
0,0.14,0.0687080504303059,0.0912577899790302,0.0512591068556793,0.0819281156345264,0.0665724266135995,0.0753693354784263,0.0777560390091377,0.0853983782851585,0.0862838590865624,0.0814334590947091
0,0.145,0.0688445515642754,0.0929271090002692,0.0519858880685011,0.083838249924949,0.0676770023556436,0.0780542986437607,0.0807032069592523,0.0876141908778821,0.0882707256724205,0.0834464934195859
0,0.15,0.0679754378594194,0.0945074247583545,0.0515618767623703,0.0855524994843969,0.0670110975596779,0.0772594879541934,0.07956979944914,0.0894250403929141,0.0883409998138813,0.081475996413007
0,0.155,0.0676298323398422,0.0978080408461846,0.0534061314650186,0.0900091283190012,0.067480036207523,0.0813421081708696,0.0839607338449362,0.0934304854778664,0.0919501070710116,0.0837779234465957
0,0.16,0.0691050871045994,0.0983006156056469,0.0504902721506157,0.0905674996981221,0.067840703706996,0.0795576618994869,0.0824711602048659,0.0934989236101368,0.0924445653293156,0.0848739900646725
0,0.165,0.0677809076299627,0.101409074653958,0.0507657416548468,0.0928497491725351,0.0681261486745802,0.0783148046825324,0.0828020081008757,0.0953155092273774,0.0937926515330395,0.0835991058555882
0,0.17,0.0676689579851912,0.102048929939294,0.0500677853313296,0.0944649141513621,0.0669275053473756,0.078099626451578,0.0830261909345228,0.0977262236216244,0.095221750608309,0.0831517432970328
0,0.175,0.0679159490295235,0.106311879718303,0.0511538179079366,0.0984248327215958,0.0680606265738398,0.0800446269938593,0.0847947208029589,0.101447529168031,0.0979631095935939,0.0850724256923085
0,0.18,0.0668179777142299,0.106936124101135,0.0512988780572561,0.0992404631423485,0.0679301705566839,0.0795253610522491,0.0839718473986804,0.10208869882391,0.0979323836550489,0.0846439001778155
0,0.185,0.0652841484323457,0.108500964501713,0.0511445563691475,0.101757237075127,0.0663080669800847,0.0793598965777483,0.0851031128368851,0.103587382680359,0.0977688154595916,0.0833458193607699
0,0.19,0.0672621483449388,0.110377137414299,0.0531146261964359,0.104061287455652,0.0681185124463274,0.0805755557676189,0.0859568702106312,0.106438957862958,0.0997098578791971,0.0846370779006042
0,0.195,0.0661236602140668,0.112123096469211,0.0516050541410119,0.106505378405249,0.0677215120612339,0.0778729245256802,0.0849370595734823,0.107658723719016,0.0990251945151317,0.083448294806346
0,0.2,0.0662650649007152,0.113701579169041,0.0521807250116227,0.107402424860076,0.0683027394371808,0.0805143773609065,0.0856247994510101,0.10952780359014,0.100954970411923,0.0837534210239681
