"gamma","r.x.v","LW","LS","W","S","GFIC","J10","J5","BIC","HQ","AIC"
0.005,0.095,0.0386046702204381,0.0617260558337477,0.0320648135243725,0.0551406636762039,0.0386647535032787,0.0494236031527066,0.0515875902818495,0.0605440126807329,0.0598156892722326,0.0526247397794998
0.005,0.1,0.0381605009400309,0.0638500027920789,0.0315499932972646,0.057195436714757,0.0395641362151599,0.0502155812188091,0.0525853351334308,0.0625376640731579,0.061049417572031,0.054679842117747
0.005,0.105,0.0390711954844476,0.0656499948129579,0.0314912542276302,0.059030605587029,0.0403300472955631,0.0504816642370839,0.0534794289405018,0.0647499186358722,0.063531584137343,0.0546725749884355
0.005,0.11,0.0370195453959212,0.0679608222711973,0.0319533663406664,0.0613137295704571,0.0393971132557637,0.0514259222134964,0.0546780868070291,0.067085748000398,0.0651984860336815,0.0552186522235306
0.005,0.115,0.0380280891541821,0.070299310514252,0.0317430031901995,0.0638213832833151,0.040342633828532,0.0518567898025586,0.0552229778109058,0.0692737854226703,0.0669749896048323,0.0551204258238532
0.005,0.12,0.0386328429243596,0.0733066123873125,0.0327170284031887,0.0669036960031043,0.0403554484051214,0.0533290878491256,0.0571264604868696,0.0721723106796589,0.0692883387121778,0.056580331604121
0.005,0.125,0.0386608241922282,0.0746606432553577,0.0317631068992727,0.0683796947910153,0.0392498903350196,0.051613129947732,0.055789939473087,0.0734733853297638,0.0694122895457997,0.0548533172945329
0.005,0.13,0.0380942978240251,0.0770635491124574,0.0318088456582575,0.0705173882914357,0.0391674365780507,0.0505954912735593,0.0561090466637855,0.0756072103465053,0.0716200587103801,0.0536343758581276
0.005,0.135,0.0377366925260796,0.0790819450453524,0.0313040218386734,0.0728879620856225,0.0386870232939663,0.0498685200125686,0.0551113856705856,0.0779527331422696,0.0721623521451647,0.0542223921855124
0.005,0.14,0.0379264951580069,0.0804432812465655,0.0310936163998673,0.0744460438538454,0.0386259754754511,0.0473768689143396,0.0533496823551503,0.0791492700457835,0.0716647567096491,0.0529290698841694
0.005,0.145,0.0377457091449934,0.0852309755999019,0.0314338274008422,0.0787242879449347,0.0388804476180606,0.0477868066142339,0.0538052262723812,0.0839742159881633,0.0749770686517782,0.0531116056271417
0.005,0.15,0.0387400231682524,0.0855461474715508,0.0324415534447597,0.0794991436613834,0.0385081453112978,0.0469039683663208,0.0526621549013237,0.0839789799434007,0.0733484549480686,0.0512751450017617
0.005,0.155,0.0382927364497427,0.0889531746327012,0.0310762264307309,0.0827179486561775,0.039049857714386,0.0462938551999852,0.0518096845592125,0.0869285391747908,0.0758629340208257,0.0507534921148741
0.005,0.16,0.0379974386655702,0.091630096937361,0.032040816068955,0.0854213068560351,0.0375357261645795,0.0453740129788734,0.0508489118897903,0.0891953157486436,0.0743099085344665,0.0491065543201445
0.005,0.165,0.0377249999802773,0.0925449539285376,0.0315185864296284,0.0866446122743942,0.0371978046080449,0.0427941391479567,0.0478208592249534,0.0889540643635293,0.0718662484008691,0.0475961973824604
0.005,0.17,0.0376758951441893,0.0952321241002517,0.0320937066835908,0.0899257304884565,0.0372074488561602,0.0428483275869479,0.047445130401952,0.0914166614779364,0.071769838544178,0.0458378261025395
0.005,0.175,0.037181884463674,0.0976984368308479,0.0312193266544119,0.0917516487338866,0.0362850822583352,0.0412423210373307,0.0450855108519621,0.0933556866517788,0.0713227016824941,0.0443653591804244
0.005,0.18,0.0375386368842765,0.0995961194614487,0.0314938013739847,0.0943335099058293,0.0367651936757855,0.0383204170599771,0.0424166075597989,0.0946151327882238,0.0711442087016513,0.0438143196842444
0.005,0.185,0.0372816599780981,0.101240682186344,0.0307375168634903,0.0964788321399445,0.0354112994116938,0.0384996966481144,0.0424428069251229,0.0942171281413868,0.0686352311390792,0.042920091666255
0.005,0.19,0.0373291412247752,0.103790325155846,0.0316956891932494,0.0992079841583212,0.034767902809157,0.0362730334596679,0.0396191193787265,0.0946141063039166,0.0659011803227618,0.0414320422796216
0.005,0.195,0.0374348356959287,0.106268280558774,0.0311575222102533,0.101741915271646,0.0359427850282481,0.0363290314301593,0.0387268467662252,0.0968412725063513,0.0666051124184623,0.0421682647680137
0.005,0.2,0.0365730285066573,0.107888588986269,0.0311172009003258,0.103812587935052,0.0341368132128295,0.0357600858699498,0.0384608426928009,0.0954262503380898,0.0627109126117048,0.0384321156037765
0.01,0,0.0390205660619244,0.030538750174178,0.031723405890817,0.0262827224326944,0.0317996043788029,0.0279554122669771,0.0272549877438705,0.0291342783359141,0.0293047898190038,0.0308701301629965
0.01,0.005,0.0401294405855078,0.0308631199114796,0.0319017794733694,0.0266274818189824,0.0327055895683333,0.0285484221244223,0.0275166580600345,0.0297977104752495,0.029932171514903,0.0311106138795789
